Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2000-01-01 00:00:00,22,32.6,27.3,82,8888,7.8,4,360,1,N 
2000-01-02 00:00:00,22,32.3,26.6,84,0,7.4,4,45,0,N 
2000-01-03 00:00:00,22,31.8,26.7,84,8888,5,3,360,1,N 
2000-01-04 00:00:00,22,32.4,27.2,84,4,4.7,3,45,0,N 
2000-01-05 00:00:00,22,33.6,26.9,84,2,7.8,4,135,0,N 
2000-01-06 00:00:00,22,32.8,27.1,81,2,5.8,5,90,0,SW
2000-01-07 00:00:00,22,33,27.4,82,8888,7,3,135,0,S 
2000-01-08 00:00:00,21,31.6,25.5,87,84,6.1,5,135,1,N 
2000-01-09 00:00:00,22,32,25.6,85,8888,1.9,3,270,0,N 
2000-01-10 00:00:00,21,29.2,25.7,87,8888,0,3,360,0,N 
2000-01-11 00:00:00,21,30.8,25.4,86,8888,3.4,4,360,0,N 
2000-01-12 00:00:00,21,30.6,25.8,87,53,4.2,3,135,0,NE
2000-01-13 00:00:00,22,32.6,27.4,81,0,6.5,4,360,0,SE
2000-01-14 00:00:00,22,32.1,26,86,2,0.4,4,90,0,N 
2000-01-15 00:00:00,22,32.6,26.5,84,22,5.5,4,360,0,N 
2000-01-16 00:00:00,23,30.4,26.7,85,30,3.4,2,360,0,SE
2000-01-17 00:00:00,23,33.2,26.5,82,0,5.4,4,90,0,N 
2000-01-18 00:00:00,21,32,26.4,86,0,3.6,4,270,0,N 
2000-01-19 00:00:00,21,29.8,25.7,86,11,1.7,2,45,0,N 
2000-01-20 00:00:00,22,32.8,27.2,79,8888,5.9,3,180,0,N 
2000-01-21 00:00:00,22,33,26.3,84,0,5.5,4,360,0,N 
2000-01-22 00:00:00,22,32.6,26.9,84,5,5.7,2,135,0,N 
2000-01-23 00:00:00,21,32.6,27,83,8888,4,4,180,0,N 
2000-01-24 00:00:00,21,32.2,27.4,77,2,6.3,5,180,0,W 
2000-01-25 00:00:00,21,32,26.3,82,65,5.2,3,135,0,N 
2000-01-26 00:00:00,22,32.7,26.8,82,0,5,3,180,0,S 
2000-01-27 00:00:00,23,32.8,27.3,86,1,7,3,180,0,S 
2000-01-28 00:00:00,23,32.8,27.4,80,3,6.4,3,360,0,N 
2000-01-29 00:00:00,23,31.2,26.8,86,6,2,4,180,0,W 
2000-01-30 00:00:00,21,32.2,26.1,87,8888,4.4,3,180,0,N 
2000-01-31 00:00:00,22,31.5,26.1,87,47,6,4,270,0,N 
2000-02-01 00:00:00,23,31,27,84,8888,1.3,2,360,1,N 
2000-02-02 00:00:00,23,32.6,27,84,0,5.1,5,180,0,N 
2000-02-03 00:00:00,23,32.8,27,85,2,6.6,3,90,0,E 
2000-02-04 00:00:00,23,32.1,26.8,86,1,0.9,3,90,0,N 
2000-02-05 00:00:00,,32.4,26.7,84,8888,4.2,4,360,1,N 
2000-02-06 00:00:00,24,33.6,,,20,7.2,2,360,0,N 
2000-02-07 00:00:00,23,31.7,26.3,88,1,0.5,4,135,0,SE
2000-02-08 00:00:00,22,32.2,26.6,88,1,4.3,4,180,1,S 
2000-02-09 00:00:00,22,31.9,26.9,86,4,4.3,4,135,1,N 
2000-02-10 00:00:00,24,32,27.4,83,8888,2.2,4,360,0,N 
2000-02-11 00:00:00,22,32,27.4,84,1,1.8,4,360,0,N 
2000-02-12 00:00:00,22,33.5,26.9,79,0,5.7,3,180,0,SW
2000-02-13 00:00:00,22,33.6,27.3,78,8888,7.9,3,135,0,N 
2000-02-14 00:00:00,22,32,26.7,86,8888,5.6,5,90,0,N 
2000-02-15 00:00:00,22,32,26.4,84,15,6,5,90,0,N 
2000-02-16 00:00:00,22,32.8,26.9,78,0,8,5,360,0,N 
2000-02-17 00:00:00,22,33.4,27.4,82,8888,5.7,3,45,0,N 
2000-02-18 00:00:00,22,32.4,26.6,84,3,6.6,3,135,0,N 
2000-02-19 00:00:00,22,33,26.7,86,4,6.1,3,180,0,NE
2000-02-20 00:00:00,22,30,25.9,88,15,1.4,3,135,0,SE
2000-02-21 00:00:00,22,31.1,26.5,86,8888,4.7,4,360,0,N 
2000-02-22 00:00:00,22,33.2,25.8,86,8888,6.2,4,360,0,N 
2000-02-23 00:00:00,22,31.7,26.1,86,19,3.9,10,225,0,N 
2000-02-24 00:00:00,22,32.2,26.2,86,16,5.8,4,180,2,N 
2000-02-25 00:00:00,22,32.2,25.9,87,7,6.2,4,360,0,N 
2000-02-26 00:00:00,22,30.7,26,88,39,1.8,2,180,0,NE
2000-02-27 00:00:00,22,32,26.7,86,8888,3.6,4,180,0,SW
2000-02-28 00:00:00,22,32.6,27.5,79,8888,4.2,2,180,0,SW
2000-02-29 00:00:00,23,32.7,27.9,81,8888,5.5,3,180,0,S 
2000-03-01 00:00:00,20,30.9,27.2,83,0,2.2,3,180,1,N 
2000-03-02 00:00:00,20,33.4,26.8,75,0,7.7,4,360,0,N 
2000-03-03 00:00:00,22,33.6,28,74,0,7.2,3,135,0,N 
2000-03-04 00:00:00,23,33.4,28,78,0,6.8,4,135,0,S 
2000-03-05 00:00:00,23,31.9,27.8,82,8888,2.4,2,360,0,N 
2000-03-06 00:00:00,21,33.6,26.5,81,8888,4.8,10,360,2,N 
2000-03-07 00:00:00,22,32.2,25.9,82,15,2.1,3,270,0,SW
2000-03-08 00:00:00,23,30.6,26.7,85,7,0,2,360,0,N 
2000-03-09 00:00:00,23,32.6,27.4,82,0,5.1,3,360,0,S 
2000-03-10 00:00:00,21,32.2,26.1,88,2,5,12,180,0,S 
2000-03-11 00:00:00,21,32.4,26.7,81,12,5.3,2,180,0,N 
2000-03-12 00:00:00,22,33,27,81,0,7,6,135,1,N 
2000-03-13 00:00:00,22,32.3,26.9,80,1,3.5,4,360,1,N 
2000-03-14 00:00:00,23,32.6,26.8,83,8888,3.2,3,180,0,W 
2000-03-15 00:00:00,23,33.6,28,81,4,5.1,3,180,1,N 
2000-03-16 00:00:00,22,34.4,27.9,76,8888,3.6,4,180,0,S 
2000-03-17 00:00:00,22,33.2,26.4,84,0,5,4,180,0,S 
2000-03-18 00:00:00,22,30.8,25.8,88,19,1.5,3,360,1,N 
2000-03-19 00:00:00,23,33,26.7,82,1,5.8,4,270,0,N 
2000-03-20 00:00:00,23,32.6,27.5,84,19,7.5,4,360,0,S 
2000-03-21 00:00:00,22,32.4,26.6,87,1,5.7,2,225,0,N 
2000-03-22 00:00:00,23,31.4,26.5,85,16,4.4,3,45,0,N 
2000-03-23 00:00:00,22,31.4,27.1,83,8888,4.6,4,135,0,N 
2000-03-24 00:00:00,21,31.6,26.3,87,7,3.8,5,45,0,N 
2000-03-25 00:00:00,22,31.9,26.4,83,59,7.8,3,360,0,N 
2000-03-26 00:00:00,22,31.6,26.7,83,0,5.5,4,135,0,N 
2000-03-27 00:00:00,22,32.4,27.9,77,0,6.2,3,360,0,N 
2000-03-28 00:00:00,22,32.6,27.1,87,8,7.4,5,360,0,N 
2000-03-29 00:00:00,22,32.8,26.5,84,24,7.3,3,135,0,N 
2000-03-30 00:00:00,22,32.2,27.7,78,0,7.8,4,180,0,N 
2000-03-31 00:00:00,21,32.4,26.6,85,6,6.8,5,360,0,N 
2000-04-01 00:00:00,22,32.6,25.8,86,30,6.2,4,225,0,N 
2000-04-02 00:00:00,22,32,26.3,84,17,5.8,3,180,0,N 
2000-04-03 00:00:00,23,32.2,27.1,84,8,7.8,4,135,0,SE
2000-04-04 00:00:00,22,32,27.6,84,5,3.5,3,360,1,N 
2000-04-05 00:00:00,23,31.6,26.2,84,4,3.8,3,180,0,N 
2000-04-06 00:00:00,22,32.4,27.3,86,9,6.6,4,360,0,N 
2000-04-07 00:00:00,22,31.2,26.8,90,22,3.6,3,270,0,SE
